year,award_no,date,location,pressented_by,category,honorary_reason,film,song,winner,speech
1939,12,1940-02-29,"Ambassador Hotel, Cocoanut Grove (banquet)",Spencer Tracy,Actress,NA,Gone with the Wind,NA,Vivien Leigh,"VIVIEN LEIGH:
 Ladies and gentlemen, please forgive me if my words are inadequate in thanking you for your very great kindness. If I were to mention all those who have shown me such wonderful generosity through ""Gone with the Wind"" I should have to entertain you with an oration as long as ""Gone with the Wind"" itself. So if I may, I should like to devote my thanks on this occasion to that composite figure of energy, courage, and very great kindness, in whom all points of ""Gone with the Wind"" meet -- Mr. David Selznick.
"
1939,12,1940-02-29,"Ambassador Hotel, Cocoanut Grove (banquet)",Fay Bainter,Actress in a Supporting Role,NA,Gone with the Wind,NA,Hattie McDaniel,"HATTIE McDANIEL:
 Academy of Motion Picture Arts and Science[s], fellow members of the motion picture industry and honored guests. This is one of the happiest moments of my life, and I want to thank each one of you who had a part in selecting me for one of the awards for your kindness. It has made me feel very, very humble and I shall always hold it as a beacon for anything I may be able to do in the future. I sincerely hope I shall always be a credit to my race and to the motion picture industry. My heart is too full to tell you just how I feel. And may I say thank you and God bless you.
"
1941,14,1942-02-26,"Biltmore Hotel, Biltmore Bowl (banquet)",James Stewart,Actor in a Supporting Role,NA,How Green Was My Valley,NA,Donald Crisp,"DONALD CRISP:
 Ladies and gentlemen, it's almost impossible to speak. You haven't been through this. It's alright up to that moment. What I want to do is say thank you to Darryl Zanuck, to John Ford, to Philip Dunne for the wonderful script, and for the opportunity to play such a wonderful part. I think there's quite a lot of the old timers knocking around that could do justice to some of that and some of you wonderful producers will look at some of these old timers and give 'em a chance. There's a lot of good blood there. I'm very thrilled, ladies and gentlemen, very honored, very grateful for this. And I do want to say that my little friend Barbara Stanwyck has been rehearsing me all week; she's handed me every lamp and statue on the set. So it was alright. Thank you again very, very much.
"
1941,14,1942-02-26,"Biltmore Hotel, Biltmore Bowl (banquet)",Ginger Rogers,Actress,NA,Suspicion,NA,Joan Fontaine,"JOAN FONTAINE:
 I want to thank the ladies and gentlemen that voted me this award. And I want to say thank you, David Selznick. And if Alfred Hitchcock were here tonight I'd like to say to him, thank you, Hitch, with all my heart.
"
1941,14,1942-02-26,"Biltmore Hotel, Biltmore Bowl (banquet)",Ginger Rogers,Actress in a Supporting Role,NA,The Great Lie,NA,Mary Astor,"MARY ASTOR:
 Ladies and gentlemen, twenty-two years ago this coming June I first faced a motion picture camera – I hasten to add I was very young. I'm going to let you write the rest of the script and just say thank you very, very much.
"
1941,14,1942-02-26,"Biltmore Hotel, Biltmore Bowl (banquet)",Cecil B. DeMille,Directing,NA,How Green Was My Valley,NA,John Ford,"COL. DARRYL F. ZANUCK:
 I would like to say that first of all this is getting to be a habit of accepting awards that justly belong to Commander Ford. Commander Ford is missed greatly at 20th Century-Fox. But 20th Century-Fox is indeed proud of Commander Ford who is tonight on a ship somewhere in the Far East. And I'm sure that were he here he would congratulate all of the other nominees, and I am certain that he would feel that, again, he was very lucky. Thank you.
"
1941,14,1942-02-26,"Biltmore Hotel, Biltmore Bowl (banquet)",John Grierson,Documentary (Short Subject),NA,Churchill's Island,NA,National Film Board of Canada,"JOHN GRIERSON:
 I shall have great pleasure in accepting the award on behalf of Mr. Stuart Legg, the producer, and I may say a particular pleasure because he works with me.
"
1941,14,1942-02-26,"Biltmore Hotel, Biltmore Bowl (banquet)",Preston Sturges,Writing (Original Screenplay),NA,Citizen Kane,NA,"Herman J. Mankiewicz, Orson Welles","GEORGE SCHAEFER:
 Mr. Herman Mankiewicz called me today and asked if I would be good enough to step up here tonight and receive this in his behalf. I'm flattered, of course. I'd be happier if he were here personally to receive it. Thank you very much.
"
1941,14,1942-02-26,"Biltmore Hotel, Biltmore Bowl (banquet)",Preston Sturges,Writing (Original Story),NA,Here Comes Mr. Jordan,NA,Harry Segall,NA
1941,14,1942-02-26,"Biltmore Hotel, Biltmore Bowl (banquet)",Preston Sturges,Writing (Screenplay),NA,Here Comes Mr. Jordan,NA,"Sidney Buchman, Seton I. Miller",NA
1941,14,1942-02-26,"Biltmore Hotel, Biltmore Bowl (banquet)",John Grierson,Special Award,NA,Kukan,NA,"To Rey Scott for his extraordinary achievement in producing ""Kukan,"" the film record of China's struggle, including its photography with a 16mm camera under the most difficult and dangerous conditions.",NA
