year,award_no,presented_by,category,film,winner,speech
1939,12,Spencer Tracy,Actress,Gone with the Wind,Vivien Leigh,"VIVIEN LEIGH:
 Ladies and gentlemen, please forgive me if my words are inadequate in thanking you for your very great kindness. If I were to mention all those who have shown me such wonderful generosity through ""Gone with the Wind"" I should have to entertain you with an oration as long as ""Gone with the Wind"" itself. So if I may, I should like to devote my thanks on this occasion to that composite figure of energy, courage, and very great kindness, in whom all points of ""Gone with the Wind"" meet -- Mr. David Selznick.
"
1939,12,Fay Bainter,Actress in a Supporting Role,Gone with the Wind,Hattie McDaniel,"HATTIE McDANIEL:
 Academy of Motion Picture Arts and Science[s], fellow members of the motion picture industry and honored guests. This is one of the happiest moments of my life, and I want to thank each one of you who had a part in selecting me for one of the awards for your kindness. It has made me feel very, very humble and I shall always hold it as a beacon for anything I may be able to do in the future. I sincerely hope I shall always be a credit to my race and to the motion picture industry. My heart is too full to tell you just how I feel. And may I say thank you and God bless you.
"
1941,14,James Stewart,Actor in a Supporting Role,How Green Was My Valley,Donald Crisp,"DONALD CRISP:
 Ladies and gentlemen, it's almost impossible to speak. You haven't been through this. It's alright up to that moment. What I want to do is say thank you to Darryl Zanuck, to John Ford, to Philip Dunne for the wonderful script, and for the opportunity to play such a wonderful part. I think there's quite a lot of the old timers knocking around that could do justice to some of that and some of you wonderful producers will look at some of these old timers and give 'em a chance. There's a lot of good blood there. I'm very thrilled, ladies and gentlemen, very honored, very grateful for this. And I do want to say that my little friend Barbara Stanwyck has been rehearsing me all week; she's handed me every lamp and statue on the set. So it was alright. Thank you again very, very much.
"
1941,14,Ginger Rogers,Actress,Suspicion,Joan Fontaine,"JOAN FONTAINE:
 I want to thank the ladies and gentlemen that voted me this award. And I want to say thank you, David Selznick. And if Alfred Hitchcock were here tonight I'd like to say to him, thank you, Hitch, with all my heart.
"
1941,14,Ginger Rogers,Actress in a Supporting Role,The Great Lie,Mary Astor,"MARY ASTOR:
 Ladies and gentlemen, twenty-two years ago this coming June I first faced a motion picture camera – I hasten to add I was very young. I'm going to let you write the rest of the script and just say thank you very, very much.
"
1942,15,Gary Cooper,Actor,Yankee Doodle Dandy,James Cagney,"JAMES CAGNEY:
 Ladies and gentlemen: Very happy. [Audience yells, ""Louder""] I said, ladies and gentlemen – I bend into my work here – very happy, very happy. According to the highly personal quality of our business, I've always had the feeling ever since coming into it, that you can only be as good as the other fellow thinks you are, or, I might add, as bad. And it seemed that quite a number of people have thought a good job has been done, and that makes me very happy. And just one added thought, I might say it was a pretty good part. Thank you.
"
1942,15,Gary Cooper,Actor in a Supporting Role,Johnny Eager,Van Heflin,"VAN HEFLIN:
 Stay here, oh yes, I need you.

 GARY COOPER:
 I'm no help for you.

 VAN HEFLIN:
 Well...I don't know, what did you say when you got it?

 GARY COOPER:
 I spent five minutes sayin' nothin'. Absolutely...

 VAN HEFLIN:
 Well, I'll just say...I'm...I'm so grateful to Mervyn LeRoy for helping me, to Metro-Goldwyn-Mayer, to Mr. Mayer, for giving me a chance, to the New York theater for training me for it. [Laughs] To the Army for letting me come down and get this.
"
1942,15,Joan Fontaine,Actress,Mrs. Miniver,Greer Garson,"[The Academy has newsreel coverage of only portions of Garson's acceptance speech. While it is clear that the opening paragraph is the beginning of her speech, it is not known how the rest of the pieces fit together or the extent of the missing footage.]

 GREER GARSON:
 Ladies and gentlemen, distinguished visitors from the armed forces, Governor Warren, honored guests, Mr. Chairman – Mr. President Chairman: Thank you. That is really all there is to say; but, as this is after all the opportunity of a lifetime, I hope you won't mind if I try to expand that word just, just a little. This is, this is going to be a great evening to remember. We've had some very exciting messages and some very exciting speeches. It should make us all very proud to belong to this great and fascinating industry. Praise from our government and our armed forces and from abroad from our allies for work we have done should make us determined to carry on. We have somehow brought very wide horizons into this room tonight. Anything that I have to say now, which is practically unprepared... [camera cuts]

 As for the nominations, I've always felt that to be nominated simply means that you've had the great good luck to be entrusted with one of the best assignments of the current year, and that's a cause for rejoicing in itself. And there isn't a single good craftsman in this industry who if given such an opportunity can't be counted on to measure up to it. Why do we all long to win the award? It's no question of superiority because we're comparing different excellences and they're varied in their nature and they can't be fairly compared. There's no rivalry in this room tonight. There's no competition. As the Dodo said to Alice in Wonderland: ""Everybody has won and everybody shall have a prize."" The nominations are really the prizes. The award...I, I can hardly believe that it's really for me tonight. It's always seemed to me something very personal, a gesture from the men and women of this industry who choose to show not only recognition of, of work... [camera cuts]

 Ladies and gentlemen, I came to this country as a stranger five years ago. I've been very happy and very proud to be a member of this community and of this industry all that time. And from everybody I met or worked with truly I have received such ready kindness that for quite a long while I couldn't believe that it was true, but tonight you have made me feel that you have really set the door of your friendship wide open and that welcome is officially on the mat, and that is why I'm so happy. [camera cuts]

 ...very humbly, very gratefully I say thank you and I step across your threshold. There... [camera cuts]

 ...if I may say so, the girl who's always on the sidelines, my quite specially wonderful little mother. And after her, Sidney Franklin the great, the inimitable Willy Wyler... [camera cuts]
"
1942,15,Joan Fontaine,Actress in a Supporting Role,Mrs. Miniver,Teresa Wright,"TERESA WRIGHT:
 Thank you. I wish Major Wyler were here tonight so I could thank him first for his splendid direction. And I'd like to thank Mr. Mayer and Mr. Franklin for giving me the part. And I'd like to thank the people who gave me this because they're the people I work with and therefore it's doubly thrilling to get it from them. Thank you.
"
1943,16,Teresa Wright,Actress in a Supporting Role,For Whom the Bell Tolls,Katina Paxinou,"KATINA PAXINOU:
 Ladies and gentlemen, allow me to share this great honor with, which is bestowed on me tonight, with my colleagues of the Royal Theatre of Athens whom, whether they are now dead or alive, fate has ordained me to represent here. I am deeply moved and I wish to thank Paramount, who offered me the chance to play ""Pilar,"" Mr. Buddy DeSylva, my director Sam Wood, and all those who, who are responsible for this happy moment. I would like to thank also the voters and the committee of the Academy Award for giving me, besides this honor, the opportunity to send through the air my, my deep love and admiration to the heroic boys, to the heroic soldiers of your great nation, the American boys who are fighting with their allies all over the world for liberty, justice and human dignity. Thank you again.
"
